SYSCALL(args) 		 = return
__sysctl(0x7FFF5FBFD240, 0x2, 0x7FFF5FBFD230)		 = 0 0
bsdthread_register(0x7FFF856A539C, 0x7FFF85685FB8, 0x2000)		 = 0 0
thread_selfid(0x7FFF856A539C, 0x7FFF85685FB8, 0x0)		 = 372598 0
open_nocancel("/dev/urandom\0", 0x0, 0x7FFF70A6EBE0)		 = 3 0
read_nocancel(0x3, "\303\210\322ay\250X\035i\251\3015 \305\017\031\227\247qQd:{\204\262\345Bh\rw;\223\325N\006Dr\276\2737\250\256\306!\217\341E\316\027\314\333\f\331\354HO\262\234\236\260\377C\276\352\0", 0x40)		 = 64 0
close_nocancel(0x3)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2AD000 0
__sysctl(0x7FFF5FBFD0C0, 0x2, 0x7FFF5FBFD080)		 = 0 0
__sysctl(0x7FFF5FBFD080, 0x2, 0x7FFF5FBFD118)		 = 0 0
getpid(0x7FFF5FBFD010, 0x7FFFFFE00050, 0x0)		 = 50557 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, ")R~\206\214o\031\367\363\226\246'\r\315\024\335y\030T\032\301\212Z\230\261\300\246Z`\201\353-\250\2025\323.Z\025pR&@Q)\237\004s\350w\226\005G\203\021\033\303\352Ns\355\v\0262]\366P\rz\036pV\003?\333-\327AP\304\025%\v\346\300v\242\376\372\207\301F8\226\222\354\322\227\215b1+\270X>;\023\225\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD0C0, 0x2, 0x7FFF5FBFD0EC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2B0000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2C7000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DE000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x2DF000 0
munmap(0x1002DF000, 0x21000)		 = 0 0
munmap(0x100400000, 0xDF000)		 = 0 0
__sysctl(0x7FFF5FBFD220, 0x2, 0x7FFF5FBFD1E0)		 = 0 0
__sysctl(0x7FFF5FBFD1E0, 0x2, 0x7FFF70A7B760)		 = 0 0
__sysctl(0x7FFF5FBFD220, 0x2, 0x7FFF5FBFD1E0)		 = 0 0
__sysctl(0x7FFF5FBFD1E0, 0x2, 0x7FFF70A7B764)		 = 0 0
__sysctl(0x7FFF5FBFD220, 0x2, 0x7FFF5FBFD1E0)		 = 0 0
__sysctl(0x7FFF5FBFD1E0, 0x2, 0x7FFF70A7B768)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2DF000 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF5FBFD248)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD21C)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x2E2000 0
