SYSCALL(args) 		 = return
madvise(0x7FFF896EF000, 0x2000, 0x5)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0x7FFF5FC45530)		 = 4 0
issetugid(0x7FFF8699F8AC, 0x7FFF5FBFD0DC, 0x7FFF5FBFF550)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation\0", 0x7FFF5FBFC180, 0x7FFF5FBFC7C0)		 = 0 0
mmap(0x0, 0x1000000, 0x3, 0x1002, 0x2000000, 0x0)		 = 0x400000 0
munmap(0x100400000, 0x400000)		 = 0 0
munmap(0x101000000, 0x400000)		 = 0 0
getrlimit(0x1003, 0x7FFF5FBFF4D0, 0x7FFF5FBFF550)		 = 0 0
mmap(0x0, 0x62000, 0x3, 0x1002, 0x3000000, 0x0)		 = 0x400000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x3000000, 0x0)		 = 0x1B5000 0
open("/dev/urandom\0", 0x20104, 0x24)		 = 4 0
fstat64(0x4, 0x7FFF5FBFF2E0, 0x0)		 = 0 0
read(0x4, "\202\344\315\216f\370]_8\260\213\262\227Z\275v%y\2562\235\367\337\220\205\325]\361\017\327\217\310\0", 0x20)		 = 32 0
close(0x4)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0x1, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0x3, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0xF, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0xE, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0x1E, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0x1F, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0xA, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0xB, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigaction(0xD, 0x7FFF5FBFF320, 0x7FFF5FBFF350)		 = 0 0
sigprocmask(0x1, 0x7FFF5FBFF3AC, 0x7FFF5FBFF3AC)		 = 0x0 0
sigaction(0x14, 0x7FFF5FBFF340, 0x7FFF5FBFF370)		 = 0 0
sigprocmask(0x3, 0x7FFF5FBFF3AC, 0x0)		 = 0x0 0
geteuid(0x0, 0x10023752, 0x100237080)		 = 0 0
getegid(0x0, 0x10023752, 0x0)		 = 0 0
getuid(0x0, 0x10023E97, 0x10022EF20)		 = 0 0
geteuid(0x0, 0x10023E97, 0x0)		 = 0 0
getgid(0x0, 0x10023E97, 0x0)		 = 0 0
getegid(0x0, 0x10023E97, 0x0)		 = 0 0
getrlimit(0x1008, 0x7FFF5FBFF190, 0x7FFF8566F80C)		 = 0 0
open_nocancel("/tmp/foo.rb20110611-48856-7lypn9-0\0", 0x0, 0x1B6)		 = 4 0
close_nocancel(0x4)		 = 0 0
open_nocancel("/tmp/foo.rb20110611-48856-7lypn9-0\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFF5FBFF120, 0x7FFF5FBFF1EC)		 = 0 0
read_nocancel(0x4, "require 'rubygems'\n\0", 0x1000)		 = 19 0
read_nocancel(0x4, "\0", 0x1000)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x7FFF5FBFEAC0, 0x0)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x0, 0x1000E14A0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFEAE0, 0x0)		 = 0 0
close(0x4)		 = 0 0
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x7FFF5FBFEAE0, 0x0)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x0, 0x1000E14A0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFEB00, 0x0)		 = 0 0
close(0x4)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x0, 0x10023FAA0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFE930, 0x0)		 = 0 0
close(0x4)		 = 0 0
open_nocancel("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x0, 0x1B6)		 = 4 0
close_nocancel(0x4)		 = 0 0
open_nocancel("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems.rb\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFF5FBFDD40, 0x7FFF5FBFDE0C)		 = 0 0
read_nocancel(0x4, "# -*- ruby -*-\n#--\n# Copyright 2006 by Chad Fowler, Rich Kilmer, Jim Weirich and others.\n# All rights reserved.\n# See LICENSE.txt for permissions.\n#++\n\nmodule Gem\n  QUICKLOADER_SUCKAGE = RUBY_VERSION =~ /^1\\.9\\.1/\n  GEM_PRELUDE_SUCKAGE = RUBY_VERSION =~ /^", 0x1000)		 = 4096 0
read_nocancel(0x4, "erwise unable to activate.\n\n  class LoadError < ::LoadError\n    # Name of gem\n    attr_accessor :name\n\n    # Version requirement of gem\n    attr_accessor :requirement\n  end\n\n  # :stopdoc:\n\n  RubyGemsVersion = VERSION\n\n  RbConfigPriorities = %w[\n    EXEEXT ", 0x1000)		 = 4096 0
read_nocancel(0x4, ".conflicts\n    unless conf.empty? then\n      why = conf.map { |act,con|\n        \"#{act.full_name} conflicts with #{con.join(\", \")}\"\n      }.join \", \"\n\n      # TODO: improve message by saying who activated `con`\n\n      raise LoadError, \"Unable to activate #", 0x1000)		 = 4096 0
read_nocancel(0x4, ".gemrc'\n  end\n\n  ##\n  # The standard configuration object for gems.\n\n  def self.configuration\n    @configuration ||= Gem::ConfigFile.new []\n  end\n\n  ##\n  # Use the given configuration object (which implements the ConfigFile\n  # protocol) as the standard co", 0x1000)		 = 4096 0
read_nocancel(0x4, "s +data+.\n\n  def self.gzip(data)\n    require 'stringio'\n    require 'zlib'\n    zipped = StringIO.new\n\n    Zlib::GzipWriter.wrap zipped do |io| io.write data end\n\n    zipped.string\n  end\n\n  ##\n  # A Zlib::Inflate#inflate wrapper\n\n  def self.inflate(data)\n  ", 0x1000)		 = 4096 0
read_nocancel(0x4, "he gem's files will be removed and the install will be aborted.\n\n  def self.post_build(&hook)\n    @post_build_hooks << hook\n  end\n\n  ##\n  # Adds a post-install hook that will be passed an Gem::Installer instance\n  # when Gem::Installer#install is called\n\n ", 0x1000)		 = 4096 0
read_nocancel(0x4, "by executable contain spaces.\n      @ruby.sub!(/.*\\s.*/m, '\"\\&\"')\n    end\n\n    @ruby\n  end\n\n  def self.latest_spec_for name\n    dependency  = Gem::Dependency.new name\n    fetcher     = Gem::SpecFetcher.fetcher\n    spec_tuples = fetcher.find_matching depend", 0x1000)		 = 4096 0
read_nocancel(0x4, "paths\n    set_home(home) if home\n    set_paths(paths.join(File::PATH_SEPARATOR)) if paths\n  end\n\n  ##\n  # The home directory for the user.\n\n  def self.user_home\n    @user_home ||= find_home\n  end\n\n  ##\n  # Is this a windows platform?\n\n  def self.win_platfo", 0x1000)		 = 4096 0
read_nocancel(0x4, "e to test out changes\n  # that haven't been installed yet.  Now RubyGems defers to -I and the\n  # RUBYLIB environment variable to skip activation of a gem.\n  #\n  # Example:\n  #\n  #   GEM_SKIP=libA:libB ruby -I../libA -I../libB ./mycode.rb\n\n  def gem(gem_na", 0x1000)		 = 1708 0
read_nocancel(0x4, "r.join ':'}:Warning: \" \\\n    \"RbConfig.datadir is deprecated and will be removed on or after \" \\\n    \"August 2011.  \" \\\n    \"Use Gem::datadir.\"\n\n  require 'rbconfig/datadir'\n\n  Gem.datadir(package_name) ||\n    File.join(Gem::ConfigMap[:datadir], package_na", 0x1000)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/defaults.rb\0", 0x7FFF5FBFE150, 0x0)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/defaults.rb\0", 0x0, 0x1000E14A0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFE170, 0x0)		 = 0 0
close(0x4)		 = 0 0
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/defaults.rb\0", 0x7FFF5FBFE170, 0x0)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/defaults.rb\0", 0x0, 0x1000E14A0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFE190, 0x0)		 = 0 0
close(0x4)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/defaults.rb\0", 0x0, 0x100277040)		 = 4 0
fstat64(0x4, 0x7FFF5FBFDFC0, 0x0)		 = 0 0
